,ead_id,resource_id,titleproper,Term,Matched_Times,Matched_From,Matched_Paragraph
0,umich-bhl-0336,1051,"Grant Kohn Goodman papers, 1943-1995",Death,1,bioghist,"Goodman worked as a professor of Japanese history at the University of Kansas (KU) for thirty years, retiring in 1989, though he continued working with KU in various capacities until his death in 2014. He traveled and taught in several countries, including the Philippines, Hong Kong, Japan, Australia, England, Ireland, Poland and Germany. Goodman spent time in the late 1980s and early 1990s at the International Research Center for Japanese Studies in Kyoto, Japan. During his career, Goodman authored the autobiographical <title>Amerika no Nippon gannen</title> (translated as <title>America’s Japan: the first year, 1945–6</title>), published by Fordham University Press in 2005. He authored an additional six books and two memoirs."
1,umich-bhl-0375,2620,"Museum of Anthropological Archaeology (University of Michigan) Records, 1894-2011",Native,1,bioghist," The Division of Ethnology was established to house ethnological specimens from around the world, with particular focus on North America. Its first curator was Melvin Gilmore, followed by Volney Jones. The Ethnobotanical Laboratory, a center for the identification and interpretation of plant materials utilized by Native Americans, was established within this division in 1938. The Division of Physical Anthropology was originally not provided with a curator and was essentially inactive until 1966, when C. Loring Brace was appointed as curator. From that point on, the division focused primarily on prehistoric skeletal collections from North America."
2,umich-bhl-0420,9275,"the Albert Kahn Associates records, 1825-2014",Death,1,abstract,"Albert Kahn was a Detroit-based architect, active from 1896 to 1942.  He founded the firm, Albert Kahn Associated Architects &amp; Engineers, which is today known as Albert Kahn Associates, Inc.  He was best known for his industrial design work, including the Ford Motor Company's Highland Park and River Rouge plants; numerous commercial buildings in Detroit such as the Fisher Building, Detroit Athletic Club, and General Motors Building; and much of the University of Michigan's Central Campus, including Angell Hall, the Clements Library, and Hill Auditorium, as well as the Willow Run Bomber Plant near Ann Arbor, Michigan.  After Kahn's death in 1942, his architectural firm, Albert Kahn Associates, Inc., has continued to be a worldwide leader in the design of factory buildings that enhance the manufacturing process.  The Albert Kahn Associates records are composed of materials produced by Albert Kahn the architect, as well as materials produced by his firm, Albert Kahn Associates, Inc., and include correspondence, company files, photographs, published materials, and architectural drawings."
3,umich-bhl-0420,9275,"the Albert Kahn Associates records, 1825-2014",Death,1,scopecontent,"The narrative and visual materials in the collection illuminate the breadth of Kahn's career and highlight the work of his architectural firm, Albert Kahn Associates, Inc., which continued to develop projects after his death, and remains a living institution. In pairing the textual materials with the photographs and architectural drawings associated with Kahn's projects, this collection offers a rich perspective on the master architect himself, illuminating his personal views on his own architecture and its place in a changing and often tumultuous world."
4,umich-bhl-0420,9275,"the Albert Kahn Associates records, 1825-2014",Death,1,bioghist," The final chapter in Kahn's industrial architecture career focuses on his contributions to America's ""Arsenal of Democracy"" [14] during World War II. Between 1914 and 1917, Kahn had constructed the first hangar building ever built at Langley Field, the Ford Eagle Shipbuilding Factory at River Rouge and the majority of the country's World War I naval bases and army airfields. In the last three years of his life, his firm took on the bulk of the U. S. Defense Department's contracts for World War II, totaling $200 million. These included naval bases in Alaska, Hawaii, Midway Island, Puerto Rico and Jacksonville, Florida. Kahn also constructed the Chrysler Tank Arsenal (1941) and numerous airplane factories, the largest of which was the 70-acre Ford Motor Company Willow Run Bomber factory (1943) at Ypsilanti, Michigan. Willow Run was Kahn's last industrial project for Ford. The B-24 Liberator bomber was produced here in a 4,000,000-square-foot, artificially lighted assembly plant to guard against the threat of night attack. This was the world's largest industrial facility, producing one bomber every 24 hours. In 1942, just before Kahn's death, the American Institute of Architects presented him with a special award, the citation for which read:"
5,umich-bhl-0420,9275,"the Albert Kahn Associates records, 1825-2014",Death,1,bioghist," Albert Kahn passed away on December 8, 1942.  Well after his death, his architectural firm, Albert Kahn Associates, Inc., remains an international leader in the design of highly specialized, efficient, flexible, and expandable factory buildings that enhance the flow of the manufacturing process.  Examples of such factories include the Nissan Motor Manufacturing Corporation USA assembly plant in Smyrna, Tennessee, and the BMW Manufacturing Corporation assembly plant in Spartanburg, South Carolina.[21]"
6,umich-bhl-0420,9275,"the Albert Kahn Associates records, 1825-2014",Remains,1,scopecontent,"The narrative and visual materials in the collection illuminate the breadth of Kahn's career and highlight the work of his architectural firm, Albert Kahn Associates, Inc., which continued to develop projects after his death, and remains a living institution. In pairing the textual materials with the photographs and architectural drawings associated with Kahn's projects, this collection offers a rich perspective on the master architect himself, illuminating his personal views on his own architecture and its place in a changing and often tumultuous world."
7,umich-bhl-0420,9275,"the Albert Kahn Associates records, 1825-2014",Remains,1,bioghist," Albert Kahn passed away on December 8, 1942.  Well after his death, his architectural firm, Albert Kahn Associates, Inc., remains an international leader in the design of highly specialized, efficient, flexible, and expandable factory buildings that enhance the flow of the manufacturing process.  Examples of such factories include the Nissan Motor Manufacturing Corporation USA assembly plant in Smyrna, Tennessee, and the BMW Manufacturing Corporation assembly plant in Spartanburg, South Carolina.[21]"
8,umich-bhl-05100,93,American Citizens for Justice records,Race,1,bioghist,"The American Citizens for Justice (or the Asian American Center for Justice), a Detroit-based Asian American civil rights group was founded in reaction to the fatal beating of Vincent Chin, a Chinese-American man. On June 19, 1982, while at a club in Detroit for his bachelor party, Chin encountered Ronald Ebens, a Detroit autoworker. According to reports, Ebens verbally harassed Chin, blaming his race for recent U.S. automotive unemployment (mistakenly believing Chin to be Japanese). A fight between the two men broke out, Chin striking Ebens before the men were separated. Ebens and his stepson, Michael Nitz, later deliberately tracked down Chin and attacked him with a baseball bat in front of a fast-food restaurant. Injuries from the attack led to Chin's death four days later."
9,umich-bhl-05100,93,American Citizens for Justice records,Death,1,bioghist,"The American Citizens for Justice (or the Asian American Center for Justice), a Detroit-based Asian American civil rights group was founded in reaction to the fatal beating of Vincent Chin, a Chinese-American man. On June 19, 1982, while at a club in Detroit for his bachelor party, Chin encountered Ronald Ebens, a Detroit autoworker. According to reports, Ebens verbally harassed Chin, blaming his race for recent U.S. automotive unemployment (mistakenly believing Chin to be Japanese). A fight between the two men broke out, Chin striking Ebens before the men were separated. Ebens and his stepson, Michael Nitz, later deliberately tracked down Chin and attacked him with a baseball bat in front of a fast-food restaurant. Injuries from the attack led to Chin's death four days later."
10,umich-bhl-2010155,1893,"Richard Nims papers, 1880s-1990s",Territory,1,bioghist," After graduated from Eastern High School in Detroit, Richard moved to Ann Arbor to attend college at the University of Michigan. His brother Paul was already a student at Michigan by the time Richard began classes in the Fall of 1934. While in Ann Arbor, Richard was employed as a student manager and accountant at the popular student hangout the Pretzel Bell Tavern. The Pretzel Bell opened in 1934 just shortly after the repeal of Prohibition. The Pretzel Bell, located at 120 E. Liberty Street, was a few blocks west of Ann Arbor's dry line. During this time, any establishment east of Division Street was prohibited to sell liquor. Therefore, students wanting to buy a drink would have to venture to establishments located outside Ann Arbor's dry territory like the Pretzel Bell. ""The P-Bell,"" as it was commonly known, quickly became a popular, co-educational social center. At one point during his time in Ann Arbor, Richard lived in an apartment above the restaurant."
